longitud,latitud
-99.206359,19.435478
-99.194091,19.434076
-99.188528,19.433607
-99.188096,19.433567
-99.206967,19.435197
-99.20322,19.434353
-99.19968,19.43384
-99.195746,19.433419
-99.183605,19.432888
-99.188033,19.432451
-99.207808,19.433542
-99.205727,19.432655
-99.201565,19.431799
-99.195774,19.431417
-99.191613,19.431242
-99.188065,19.431255
-99.185612,19.431172
-99.18222,19.431033
Miguel Hidalgo,-99.207373
-99.19912,19.427705
-99.203331,19.430515
-99.200074,19.430098
-99.19349,19.42977
-99.185389,19.42894
-99.196965,19.429314
-99.191539,19.42783
-99.202181,19.429332
-99.20243,19.429436
-99.193986,19.426744
-99.193752,19.426765
-99.181355,19.430153
-99.206298,19.438551
-99.207577,19.438616
-99.20105,19.440344
-99.196712,19.440839
-99.193315,19.440885
-99.190368,19.438165
-99.179835,19.434147
-99.180565,19.432102
-99.177399,19.43175
-99.177569,19.429877
-99.17966,19.429057
-99.17538,19.429261
-99.17702,19.427575
-99.177924,19.425835
-99.160074,19.439347
-99.165099,19.43788
-99.158313,19.437167
-99.166223,19.433803
-99.15468,19.437569
-99.14857,19.433013
-99.175196,19.423704
-99.133952,19.436931
-99.179143,19.416727
-99.153082,19.444272
-99.152187,19.444031
-99.15264,19.444199
-99.152894,19.444244
-99.152265,19.440839
-99.152935,19.440985
-99.158425,19.436274
-99.153865,19.436764
